tax_id,scientific.name,category,temp,common.name
10020,Chordata,chordates,1,Ord's kangaroo rat
10020,Sarcopterygii,bony fishes and tetrapods,1,Ord's kangaroo rat
10020,Amniota,amniotes,1,Ord's kangaroo rat
10020,Mammalia,mammals,1,Ord's kangaroo rat
10020,Rodentia,rodents,1,Ord's kangaroo rat
10029,Chordata,chordates,1,Chinese hamster
10029,Sarcopterygii,bony fishes and tetrapods,1,Chinese hamster
10029,Amniota,amniotes,1,Chinese hamster
10029,Mammalia,mammals,1,Chinese hamster
10029,Rodentia,rodents,1,Chinese hamster
10036,Chordata,chordates,1,golden hamster
10036,Sarcopterygii,bony fishes and tetrapods,1,golden hamster
10036,Amniota,amniotes,1,golden hamster
10036,Mammalia,mammals,1,golden hamster
10036,Rodentia,rodents,1,golden hamster
10041,Chordata,chordates,1,white-footed mouse
10041,Sarcopterygii,bony fishes and tetrapods,1,white-footed mouse
10041,Amniota,amniotes,1,white-footed mouse
10041,Mammalia,mammals,1,white-footed mouse
10041,Rodentia,rodents,1,white-footed mouse
10089,Chordata,chordates,1,Ryukyu mouse
10089,Sarcopterygii,bony fishes and tetrapods,1,Ryukyu mouse
10089,Amniota,amniotes,1,Ryukyu mouse
10089,Mammalia,mammals,1,Ryukyu mouse
10089,Rodentia,rodents,1,Ryukyu mouse
10090,Chordata,chordates,1,house mouse
10090,Sarcopterygii,bony fishes and tetrapods,1,house mouse
10090,Amniota,amniotes,1,house mouse
10090,Mammalia,mammals,1,house mouse
10090,Rodentia,rodents,1,house mouse
10093,Chordata,chordates,1,shrew mouse
10093,Sarcopterygii,bony fishes and tetrapods,1,shrew mouse
10093,Amniota,amniotes,1,shrew mouse
10093,Mammalia,mammals,1,shrew mouse
10093,Rodentia,rodents,1,shrew mouse
10116,Chordata,chordates,1,Norway rat
10116,Sarcopterygii,bony fishes and tetrapods,1,Norway rat
10116,Amniota,amniotes,1,Norway rat
10116,Mammalia,mammals,1,Norway rat
10116,Rodentia,rodents,1,Norway rat
10117,Chordata,chordates,1,black rat
10117,Sarcopterygii,bony fishes and tetrapods,1,black rat
10117,Amniota,amniotes,1,black rat
10117,Mammalia,mammals,1,black rat
10117,Rodentia,rodents,1,black rat
10141,Chordata,chordates,1,domestic guinea pig
10141,Sarcopterygii,bony fishes and tetrapods,1,domestic guinea pig
10141,Amniota,amniotes,1,domestic guinea pig
10141,Mammalia,mammals,1,domestic guinea pig
10141,Rodentia,rodents,1,domestic guinea pig
10160,Chordata,chordates,1,degu
10160,Sarcopterygii,bony fishes and tetrapods,1,degu
10160,Amniota,amniotes,1,degu
10160,Mammalia,mammals,1,degu
10160,Rodentia,rodents,1,degu
10181,Chordata,chordates,1,naked mole-rat
10181,Sarcopterygii,bony fishes and tetrapods,1,naked mole-rat
10181,Amniota,amniotes,1,naked mole-rat
10181,Mammalia,mammals,1,naked mole-rat
10181,Rodentia,rodents,1,naked mole-rat
1026970,Chordata,chordates,1,Upper Galilee mountains blind mole rat
1026970,Sarcopterygii,bony fishes and tetrapods,1,Upper Galilee mountains blind mole rat
1026970,Amniota,amniotes,1,Upper Galilee mountains blind mole rat
1026970,Mammalia,mammals,1,Upper Galilee mountains blind mole rat
1026970,Rodentia,rodents,1,Upper Galilee mountains blind mole rat
103695,Chordata,chordates,1,central bearded dragon
103695,Sarcopterygii,bony fishes and tetrapods,1,central bearded dragon
103695,Amniota,amniotes,1,central bearded dragon
103944,Chordata,chordates,1,""
103944,Sarcopterygii,bony fishes and tetrapods,1,""
103944,Amniota,amniotes,1,""
1047088,Chordata,chordates,1,Eurasian water vole
1047088,Sarcopterygii,bony fishes and tetrapods,1,Eurasian water vole
1047088,Amniota,amniotes,1,Eurasian water vole
1047088,Mammalia,mammals,1,Eurasian water vole
1047088,Rodentia,rodents,1,Eurasian water vole
105023,Chordata,chordates,1,turquoise killifish
105023,Actinopterygii,bony fishes and tetrapods,1,turquoise killifish
105255,Chordata,chordates,1,banner-tailed kangaroo rat
105255,Sarcopterygii,bony fishes and tetrapods,1,banner-tailed kangaroo rat
105255,Amniota,amniotes,1,banner-tailed kangaroo rat
105255,Mammalia,mammals,1,banner-tailed kangaroo rat
105255,Rodentia,rodents,1,banner-tailed kangaroo rat
106582,Chordata,chordates,1,zebra mbuna
106582,Actinopterygii,bony fishes and tetrapods,1,zebra mbuna
106734,Chordata,chordates,1,Abingdon island giant tortoise
106734,Sarcopterygii,bony fishes and tetrapods,1,Abingdon island giant tortoise
106734,Amniota,amniotes,1,Abingdon island giant tortoise
109280,Chordata,chordates,1,tiger tail seahorse
109280,Actinopterygii,bony fishes and tetrapods,1,tiger tail seahorse
1094192,Chordata,chordates,1,""
1094192,Sarcopterygii,bony fishes and tetrapods,1,""
1094192,Amniota,amniotes,1,""
1094192,Aves,birds,1,""
109478,Chordata,chordates,1,Brandt's bat
109478,Sarcopterygii,bony fishes and tetrapods,1,Brandt's bat
109478,Amniota,amniotes,1,Brandt's bat
109478,Mammalia,mammals,1,Brandt's bat
109478,Chiroptera,bats,1,Brandt's bat
109905,Chordata,chordates,1,copperband butterflyfish
109905,Actinopterygii,bony fishes and tetrapods,1,copperband butterflyfish
111838,Chordata,chordates,1,creeping vole
111838,Sarcopterygii,bony fishes and tetrapods,1,creeping vole
111838,Amniota,amniotes,1,creeping vole
111838,Mammalia,mammals,1,creeping vole
111838,Rodentia,rodents,1,creeping vole
113540,Chordata,chordates,1,Asian bonytongue
113540,Actinopterygii,bony fishes and tetrapods,1,Asian bonytongue
114329,Chordata,chordates,1,saffron-crested tyrant-manakin
114329,Sarcopterygii,bony fishes and tetrapods,1,saffron-crested tyrant-manakin
114329,Amniota,amniotes,1,saffron-crested tyrant-manakin
114329,Aves,birds,1,saffron-crested tyrant-manakin
116960,Chordata,chordates,1,""
116960,Sarcopterygii,bony fishes and tetrapods,1,""
116960,Amniota,amniotes,1,""
116960,Mammalia,mammals,1,""
116960,Carnivora,carnivores,1,""
118141,Chordata,chordates,1,Indo-Pacific tarpon
118141,Actinopterygii,bony fishes and tetrapods,1,Indo-Pacific tarpon
118200,Chordata,chordates,1,Downy woodpecker
118200,Sarcopterygii,bony fishes and tetrapods,1,Downy woodpecker
118200,Amniota,amniotes,1,Downy woodpecker
118200,Aves,birds,1,Downy woodpecker
118797,Chordata,chordates,1,Yangtze River dolphin
118797,Sarcopterygii,bony fishes and tetrapods,1,Yangtze River dolphin
118797,Amniota,amniotes,1,Yangtze River dolphin
118797,Mammalia,mammals,1,Yangtze River dolphin
118797,Artiodactyla,even-toed ungulates,1,Yangtze River dolphin
118797,Cetacea,whales and dolphins,1,Yangtze River dolphin
1196302,Chordata,chordates,1,New Caledonian crow
1196302,Sarcopterygii,bony fishes and tetrapods,1,New Caledonian crow
1196302,Amniota,amniotes,1,New Caledonian crow
1196302,Aves,birds,1,New Caledonian crow
1203425,Chordata,chordates,1,New Zealand spotty
1203425,Actinopterygii,bony fishes and tetrapods,1,New Zealand spotty
120794,Chordata,chordates,1,gyrfalcon
120794,Sarcopterygii,bony fishes and tetrapods,1,gyrfalcon
120794,Amniota,amniotes,1,gyrfalcon
120794,Aves,birds,1,gyrfalcon
121530,Chordata,chordates,1,red-crested turaco
121530,Sarcopterygii,bony fishes and tetrapods,1,red-crested turaco
121530,Amniota,amniotes,1,red-crested turaco
121530,Aves,birds,1,red-crested turaco
1230840,Chordata,chordates,1,""
1230840,Sarcopterygii,bony fishes and tetrapods,1,""
1230840,Amniota,amniotes,1,""
1230840,Mammalia,mammals,1,""
1234273,Chordata,chordates,1,yellow catfish
1234273,Actinopterygii,bony fishes and tetrapods,1,yellow catfish
1250792,Chordata,chordates,1,Boeseman's rainbowfish
1250792,Actinopterygii,bony fishes and tetrapods,1,Boeseman's rainbowfish
125878,Chordata,chordates,1,""
125878,Sarcopterygii,bony fishes and tetrapods,1,""
125878,Amphibia,amphibians,1,""
127582,Chordata,chordates,1,Florida manatee
127582,Sarcopterygii,bony fishes and tetrapods,1,Florida manatee
127582,Amniota,amniotes,1,Florida manatee
127582,Mammalia,mammals,1,Florida manatee
128390,Chordata,chordates,1,crested ibis
128390,Sarcopterygii,bony fishes and tetrapods,1,crested ibis
128390,Amniota,amniotes,1,crested ibis
128390,Aves,birds,1,crested ibis
130825,Chordata,chordates,1,black-lipped pika
130825,Sarcopterygii,bony fishes and tetrapods,1,black-lipped pika
130825,Amniota,amniotes,1,black-lipped pika
130825,Mammalia,mammals,1,black-lipped pika
13146,Chordata,chordates,1,budgerigar
13146,Sarcopterygii,bony fishes and tetrapods,1,budgerigar
13146,Amniota,amniotes,1,budgerigar
13146,Aves,birds,1,budgerigar
132908,Chordata,chordates,1,large flying fox
