gene_id	gene_symbol	description	scientific_name	common_name	tax_id	genomic_range	orientation	location	gene_type	transcript_accession	transcript_name	transcript_length	transcript_cds_coords	protein_accession	isoform_name	protein_length	protein_name
100031783	ACE2	angiotensin converting enzyme 2	Monodelphis domestica	gray short-tailed opossum	13616	NC_008807.1:24483257-24568497	+	chr 7	PROTEIN_CODING	XM_007500874.2	transcript variant X2	4112	XM_007500874.2:553-2973	XP_007500936.1	isoform X1	806	angiotensin-converting enzyme 2
100031783	ACE2	angiotensin converting enzyme 2	Monodelphis domestica	gray short-tailed opossum	13616	NC_008807.1:24483257-24568497	+	chr 7	PROTEIN_CODING	XM_007500875.2	transcript variant X3	4027	XM_007500875.2:468-2888	XP_007500937.1	isoform X1	806	angiotensin-converting enzyme 2
100031783	ACE2	angiotensin converting enzyme 2	Monodelphis domestica	gray short-tailed opossum	13616	NC_008807.1:24483257-24568497	+	chr 7	PROTEIN_CODING	XM_007500876.2	transcript variant X4	3933	XM_007500876.2:374-2794	XP_007500938.1	isoform X1	806	angiotensin-converting enzyme 2
100031783	ACE2	angiotensin converting enzyme 2	Monodelphis domestica	gray short-tailed opossum	13616	NC_008807.1:24483257-24568497	+	chr 7	PROTEIN_CODING	XM_007500873.2	transcript variant X1	3775	XM_007500873.2:216-2636	XP_007500935.1	isoform X1	806	angiotensin-converting enzyme 2
100031783	ACE2	angiotensin converting enzyme 2	Monodelphis domestica	gray short-tailed opossum	13616	NC_008807.1:24483257-24568497	+	chr 7	PROTEIN_CODING	XM_007500879.1	transcript variant X7	2515	XM_007500879.1:206-2515	XP_007500941.1	isoform X2	769	angiotensin-converting enzyme 2
100031783	ACE2	angiotensin converting enzyme 2	Monodelphis domestica	gray short-tailed opossum	13616	NC_008807.1:24483257-24568497	+	chr 7	PROTEIN_CODING	XM_007500880.2	transcript variant X8	2248	XM_007500880.2:206-2233	XP_007500942.1	isoform X3	675	angiotensin-converting enzyme 2
100031783	ACE2	angiotensin converting enzyme 2	Monodelphis domestica	gray short-tailed opossum	13616	NC_008807.1:24483257-24568497	+	chr 7	PROTEIN_CODING	XM_007500878.2	transcript variant X6	3805	XM_007500878.2:246-2666	XP_007500940.1	isoform X1	806	angiotensin-converting enzyme 2
100031783	ACE2	angiotensin converting enzyme 2	Monodelphis domestica	gray short-tailed opossum	13616	NC_008807.1:24483257-24568497	+	chr 7	PROTEIN_CODING	XM_007500877.2	transcript variant X5	3795	XM_007500877.2:236-2656	XP_007500939.1	isoform X1	806	angiotensin-converting enzyme 2
100055952	ACE2	angiotensin converting enzyme 2	Equus caballus	horse	9796	NC_009175.3:11928696-11973861	-	chr X	PROTEIN_CODING	XM_001490191.5		3712	XM_001490191.5:409-2826	XP_001490241.1		805	angiotensin-converting enzyme 2
100085223	ACE2	angiotensin converting enzyme 2	Ornithorhynchus anatinus	platypus	9258	NC_041742.1:23597768-23624331	-	chr 15	PROTEIN_CODING	XM_001515547.5		3181	XM_001515547.5:118-2538	XP_001515597.2		806	angiotensin-converting enzyme 2
100144303	ACE2	angiotensin converting enzyme 2	Sus scrofa	pig	9823	NC_010461.5:12099849-12152204	-	chr X	PROTEIN_CODING	XM_021079374.1	transcript variant X1	3597	XM_021079374.1:317-2734	XP_020935033.1	isoform X1	805	angiotensin-converting enzyme 2
100144303	ACE2	angiotensin converting enzyme 2	Sus scrofa	pig	9823	NC_010461.5:12099849-12152204	-	chr X	PROTEIN_CODING	XM_021079376.1	transcript variant X3	3288	XM_021079376.1:394-2445	XP_020935035.1	isoform X3	683	angiotensin-converting enzyme 2
100144303	ACE2	angiotensin converting enzyme 2	Sus scrofa	pig	9823	NC_010461.5:12099849-12152204	-	chr X	PROTEIN_CODING	XM_021079377.1	transcript variant X4	3347	XM_021079377.1:453-2504	XP_020935036.1	isoform X3	683	angiotensin-converting enzyme 2
100144303	ACE2	angiotensin converting enzyme 2	Sus scrofa	pig	9823	NC_010461.5:12099849-12152204	-	chr X	PROTEIN_CODING	NM_001123070.1		2418	NM_001123070.1:1-2418	NP_001116542.1		805	angiotensin-converting enzyme 2 precursor
